Source,Target
274199,443127
274200,274199
274200,443127
275350,125341
275350,125342
275350,125343
275350,125345
275350,125347
275350,125349
275350,157838
275350,163136
275350,163139
275350,163141
275350,173162
275350,207831
275350,246484
275350,252707
275353,50661
275353,102473
275353,163095
275353,173164
275353,182250
275353,195070
275353,224923
275353,252707
275353,263247
275353,275357
275357,27958
275357,157833
275357,163130
275357,208187
275357,224927
275357,244832
275357,252707
275357,263249
275361,10409
275361,48678
275361,50656
275361,68270
275361,119787
275361,163096
275361,164905
275361,173178
275361,205653
275361,208184
275361,224920
275361,244831
275361,244847
275361,244849
275361,246492
275361,252707
275361,263245
275361,263255
275832,190285
275835,9574
275835,80266
275835,95089
275835,164858
275835,205252
275835,216931
275835,220404
275835,261417
275835,264501
275835,917561
275840,51299
275840,100902
275840,157965
275840,178501
275841,178500
275841,179119
275841,442717
275842,157856
275842,164968
275842,912097
276840,142598
276840,276838
276843,92468
276843,186216
277850,263247
277868,44666
277868,102473
277868,157834
277872,263254
277876,272149
280089,105459
280094,74378
282003,375017
282003,443003
282004,222158
282005,420062
282006,442902
282006,443039
282629,163095
282634,263254
282634,272154
282637,208184
282642,205652
282650,182252
284519,154651
284520,211503
284520,248889
284525,203783
285349,156430
285353,156430
285360,184516
285360,205772
285360,443080
285360,452791
285362,250252
286577,237619
286578,187316
286578,248894
286579,187316
286579,248894
286579,248907
286579,252299
286581,248909
292234,59327
292234,97456
292234,190282
292238,29710
292238,178500
292238,216931
292238,917564
292241,93761
292241,97456
292241,106245
292241,164860
292241,190285
292241,261414
292241,912163
292242,6680
292242,9566
292242,50509
292242,227368
292243,80280
292243,106245
292243,190282
292243,244999
292243,252267
292243,310829
292244,252270
292244,252273
292339,165853
292344,261113
294258,120424
294266,105460
294266,261282
294269,204552
294425,211503
294425,248878
294425,248889
294425,248906
294428,248877
294433,187314
294962,186132
294962,195335
294962,204401
294962,208749
294962,241292
294963,156430
294963,593029
294966,183436
294966,204542
294966,452791
294966,452798
298692,142817
298692,178501
298692,252270
298692,252273
298692,252277
298702,59322
298702,80253
298702,97435
298702,142820
298706,3085
298706,47130
298706,157853
298706,157860
298706,175859
298706,182713
298706,190278
298706,572720
298712,60603
298716,29710
298716,106248
298716,142820
298716,142825
298716,157853
298716,183734
299142,277865
299275,5387
299275,442698
299275,442700
299275,442707
299278,452791
299278,452798
299667,227349
299667,263254
299667,272154
299669,272154
299669,299667
299671,125341
299671,125342
299671,125343
299671,125345
299671,125347
299671,125349
299671,157833
299671,157838
299671,163136
299671,163139
299671,163141
299671,207831
299671,246484
299671,252707
299930,187316
299932,187314
299932,248909
299936,211503
299936,248889
300742,27314
300744,203785
300751,265184
300751,1809023
300751,1809324
300751,1818327
300752,248895
302366,187312
302393,248908
302405,294428
302565,173166
303784,232325
303784,248895
303789,61018
303789,211503
303789,248878
303789,248889
303792,245014
304174,442736
304180,443193
304180,452747
304182,443073
304191,443101
304705,422479
304706,420063
304706,422479
304715,422511
304715,422536
305098,248893
305101,248898
305101,248902
305102,248876
305102,248877
305102,248899
305102,422476
305103,190162
307213,230401
307214,158200
307214,443052
307465,50500
307465,178501
307466,84583
307466,183721
307466,190275
