paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
65843,0.1111111111111111,0,4,0,1.1634615384615383,19.33333333333333,1.03,43.0,47.0,0.884,0.412
18860,0.1666666666666666,1,2,0,1.0,0.0,2.72,94.0,74.0,1.378,1.125
35392,0.2,1,3,0,0.7698412698412698,20.666666666666668,3.0,92.0,78.0,1.62,1.113
37733,0.2,0,9,0,0.3333333333333333,6.0,5.07,94.0,85.0,2.607,0.87
64861,0.0769230769230769,0,1,5,5.441176470588236,19.0,5.45,95.0,84.0,2.948,1.133
43100,0.2,1,3,0,0.5625,4.5,3.73,87.0,75.0,1.919,0.698
11900,0.1666666666666666,1,1,0,1.2150592276711678,78.6,2.03,72.0,63.0,1.021,0.336
25281,0.0666666666666666,0,3,0,3.1938742261322908,43.333333333333336,3.33,93.0,73.0,2.241,1.162
56601,0.1428571428571428,0,4,1,3.3392857142857144,15.5,3.2,83.0,76.0,1.868,0.472
55404,0.0833333333333333,1,0,3,2.185185185185185,14.11111111111111,3.2,83.0,76.0,1.868,0.472
46663,0.0476190476190476,1,1,0,0.0,0.0,2.83,98.0,55.0,2.066,1.291
41450,0.2,0,7,0,0.0,3.0,4.23,98.0,86.0,2.358,1.628
40522,0.0833333333333333,1,0,2,1.890625,45.75,2.68,79.0,72.0,1.2,0.619
5707,0.0769230769230769,0,1,2,1.111111111111111,5.333333333333333,0.95,80.0,44.0,0.744,0.332
48908,0.1,0,14,0,0.4,5.0,3.33,93.0,73.0,2.241,1.162
20901,0.037037037037037,0,1,22,12.333333333333334,3.0,1.19,54.0,46.0,1.135,0.504
28631,0.0666666666666666,1,3,1,0.6864734299516909,26.666666666666668,1.19,54.0,46.0,1.135,0.504
15553,0.1,0,0,2,1.1666666666666667,5.333333333333333,0.66,32.0,41.0,1.192,0.316
3977,0.0416666666666666,1,0,2,2.0,1.0,1.11,62.0,60.0,0.68,0.225
18898,0.125,0,4,1,1.161549707602339,55.333333333333336,3.0,92.0,78.0,1.62,1.113
37561,0.0909090909090909,0,4,0,1.0,0.0,1.03,43.0,47.0,0.884,0.412
59208,0.0526315789473684,0,0,3,3.0,0.0,2.72,94.0,74.0,1.378,1.125
34555,0.03125,0,1,4,5.583333333333334,2.0,3.33,93.0,73.0,2.241,1.162
40248,0.2,1,4,2,2.1142857142857143,13.0,0.66,32.0,41.0,1.192,0.316
49969,0.0769230769230769,1,1,0,0.3333333333333333,2.6666666666666665,3.2,83.0,76.0,1.868,0.472
64019,0.0833333333333333,1,15,0,6.145021645021646,23.33333333333333,3.33,93.0,73.0,2.241,1.162
28228,0.0909090909090909,1,3,11,6.481481481481481,11.0,3.33,93.0,73.0,2.241,1.162
44392,0.0476190476190476,0,1,0,0.5,1.0,2.96,98.0,82.0,1.394,1.229
1713,0.0454545454545454,0,5,5,1.75,7.0,1.44,56.0,54.0,1.38,0.94
60289,0.1666666666666666,0,3,0,1.0069124423963134,49.0,1.95,81.0,63.0,1.324,1.008
55797,0.0909090909090909,1,2,1,1.7887737262737262,28.0,2.18,89.0,68.0,1.508,0.352
12623,0.0588235294117647,1,2,0,0.989010989010989,16.5,3.33,93.0,73.0,2.241,1.162
22690,0.0769230769230769,0,0,3,2.857142857142857,6.142857142857143,5.11,94.0,85.0,2.16,1.378
45212,0.1666666666666666,1,2,0,1.6060606060606062,18.33333333333333,0.46,19.0,28.0,0.98,0.353
48977,0.0526315789473684,0,2,2,17.0,3.0,3.33,93.0,73.0,2.241,1.162
40971,0.0769230769230769,0,1,0,1.2777777777777777,11.5,0.95,80.0,44.0,0.744,0.332
34559,0.0357142857142857,0,1,1,1.0,3.0,4.04,89.0,82.0,2.582,0.581
613,0.0909090909090909,1,3,0,0.1666666666666666,2.6666666666666665,4.65,99.0,83.0,2.16,1.656
37018,0.1,1,5,0,4.293103448275862,22.5,3.33,93.0,73.0,2.241,1.162
45146,0.1428571428571428,0,2,1,1.494579945799458,40.5,1.28,47.0,46.0,0.698,0.33
33673,0.05,0,3,1,1.34375,36.0,2.03,75.0,75.0,1.568,1.504
39373,0.0303030303030303,0,1,2,1.75,1.0,2.72,94.0,74.0,1.378,1.125
56605,0.0588235294117647,0,7,4,2.583333333333333,13.666666666666666,3.33,93.0,73.0,2.241,1.162
63831,0.0769230769230769,1,1,1,1.0,1.0,1.19,54.0,46.0,1.135,0.504
50655,0.0333333333333333,0,0,5,3.0,0.0,1.4,54.0,50.0,1.488,0.517
38312,0.0833333333333333,1,1,0,3.117777777777777,16.666666666666668,3.33,93.0,73.0,2.241,1.162
16544,0.0625,1,0,2,2.0,1.0,1.74,63.0,65.0,1.106,0.481
12769,0.0833333333333333,0,4,10,9.472222222222223,15.0,3.33,93.0,73.0,2.241,1.162
30052,0.037037037037037,0,1,0,0.6666666666666666,3.0,1.03,43.0,47.0,0.884,0.412
13397,0.0909090909090909,1,2,1,1.6190476190476193,10.666666666666666,1.44,56.0,54.0,1.38,0.94
28445,0.0416666666666666,1,1,1,1.0,0.0,4.65,99.0,83.0,2.16,1.656
35699,0.0476190476190476,0,0,1,1.0,0.0,1.5,83.0,56.0,0.957,0.526
2607,0.0833333333333333,0,0,8,1.8138888888888889,26.33333333333333,1.95,81.0,63.0,1.324,1.008
1400,0.1,1,1,1,2.458333333333333,28.5,3.86,89.0,70.0,2.332,0.864
48055,0.0833333333333333,1,0,5,4.138537549407115,18.181818181818183,3.0,92.0,78.0,1.62,1.113
19266,0.1,0,1,2,1.1096103896103895,17.6,0.95,80.0,44.0,0.744,0.332
8669,0.0625,1,0,1,1.0,1.0,0.95,80.0,44.0,0.744,0.332
57709,0.05,0,0,1,1.0,2.0,1.11,47.0,45.0,0.876,0.244
22258,0.0769230769230769,1,0,1,1.4444444444444446,5.0,3.63,90.0,67.0,1.806,0.821
64506,0.0909090909090909,0,2,0,0.6666666666666666,13.0,1.03,43.0,47.0,0.884,0.412
35550,0.1111111111111111,1,0,1,1.251207729468599,58.0,3.2,83.0,76.0,1.868,0.472
3559,0.0285714285714285,0,0,20,10.8,3.0,1.44,56.0,54.0,1.38,0.94
57417,0.125,0,3,0,2.111111111111111,4.0,4.23,98.0,86.0,2.358,1.628
23487,0.1666666666666666,0,6,0,0.0,2.0,4.65,99.0,83.0,2.16,1.656
32463,0.0476190476190476,1,2,2,2.0,11.0,1.03,43.0,47.0,0.884,0.412
36515,0.0714285714285714,1,10,5,9.957142857142856,22.666666666666668,3.33,93.0,73.0,2.241,1.162
19243,0.0555555555555555,0,0,3,1.5,12.0,5.45,95.0,84.0,2.948,1.133
40967,0.1666666666666666,0,5,1,0.75,1.5,4.23,98.0,86.0,2.358,1.628
17533,0.2,1,2,0,4.8478260869565215,15.0,2.72,94.0,74.0,1.378,1.125
16050,0.0434782608695652,0,2,1,0.9666666666666668,11.666666666666666,1.4,54.0,50.0,1.488,0.517
40666,0.1666666666666666,0,1,0,0.1666666666666666,2.6666666666666665,4.65,99.0,83.0,2.16,1.656
48245,0.0909090909090909,0,1,1,2.125,11.0,2.87,80.0,69.0,1.72,0.717
42977,0.1666666666666666,1,1,0,1.7941176470588236,16.333333333333332,3.33,93.0,73.0,2.241,1.162
49399,0.1428571428571428,0,1,0,0.25,2.0,1.15,86.0,49.0,1.043,0.193
45806,0.0384615384615384,0,1,10,9.5,7.0,3.33,93.0,73.0,2.241,1.162
3200,0.1111111111111111,0,0,1,1.450980392156863,16.666666666666668,1.95,86.0,61.0,0.916,0.312
16767,0.0666666666666666,0,0,1,1.037037037037037,12.666666666666666,2.09,88.0,72.0,1.478,0.674
9847,0.2,0,8,0,1.4175444864466162,51.5,2.03,72.0,63.0,1.021,0.336
57178,0.1428571428571428,1,11,4,2.9338235294117645,25.0,3.33,93.0,73.0,2.241,1.162
13339,0.125,0,0,2,2.355855855855856,19.666666666666668,3.33,93.0,73.0,2.241,1.162
22981,0.0666666666666666,0,0,2,2.0,0.0,0.66,32.0,41.0,1.192,0.316
54817,0.0833333333333333,1,1,2,1.9,6.0,1.74,63.0,65.0,1.106,0.481
13486,0.1111111111111111,1,5,2,5.285714285714286,11.0,4.23,98.0,86.0,2.358,1.628
17560,0.1111111111111111,1,1,0,0.0,1.0,1.19,54.0,46.0,1.135,0.504
26519,0.1,0,2,0,1.470899470899471,29.33333333333333,5.45,95.0,84.0,2.948,1.133
24452,0.0344827586206896,1,0,6,3.6666666666666665,2.0,1.03,43.0,47.0,0.884,0.412
23974,0.1,0,0,4,4.0,2.0,5.11,94.0,85.0,2.16,1.378
41798,0.2,1,1,0,0.0,2.0,0.74,66.0,42.0,0.327,0.217
64855,0.1666666666666666,1,5,0,2.1501543209876544,68.0,3.33,93.0,73.0,2.241,1.162
27056,0.125,0,9,0,0.625,5.5,1.36,53.0,51.0,0.71,0.285
25505,0.0833333333333333,0,0,1,1.0,1.0,1.44,56.0,54.0,1.38,0.94
55070,0.0714285714285714,1,7,15,12.375,34.0,3.33,93.0,73.0,2.241,1.162
6537,0.0909090909090909,1,3,0,0.5,7.5,1.03,43.0,47.0,0.884,0.412
56372,0.0666666666666666,1,0,1,1.5545454545454545,9.4,0.95,80.0,44.0,0.744,0.332
41077,0.1666666666666666,0,4,2,5.642857142857143,16.8,2.72,94.0,74.0,1.378,1.125
30171,0.0303030303030303,1,1,7,3.0,0.0,3.76,88.0,76.0,2.251,0.805
6399,0.125,0,2,0,1.3839285714285714,13.0,0.95,80.0,44.0,0.744,0.332
57568,0.05,1,2,1,1.0,4.0,1.44,56.0,54.0,1.38,0.94
52605,0.05,1,4,4,3.9546783625731,37.5,3.33,93.0,73.0,2.241,1.162
55325,0.1428571428571428,0,2,1,1.0347222222222223,21.0,2.68,79.0,72.0,1.2,0.619
28142,0.1666666666666666,0,0,1,1.0925925925925926,10.666666666666666,3.2,83.0,76.0,1.868,0.472
39399,0.0416666666666666,1,0,8,12.916666666666666,25.0,3.33,93.0,73.0,2.241,1.162
54425,0.0909090909090909,1,1,0,0.3333333333333333,4.0,3.2,83.0,76.0,1.868,0.472
