Source,Target
35474,42110
35474,47081
35474,48275
35474,57534
24596,18546
24596,24509
24596,24595
24596,29880
56365,5963
56365,6477
56365,10386
56365,41485
56365,44816
56365,45306
56365,47255
56365,48956
56365,49514
56365,51872
56365,52028
56365,59985
53535,18562
53535,19811
53535,21707
53535,24233
53535,29813
53535,55886
32710,20848
32710,58494
422,418
59576,11517
59576,52255
2228,333
2228,4318
27743,58909
27743,65810
11819,47581
11819,58494
2973,4869
44501,3249
44501,7269
44501,7714
44501,12462
44501,13483
44501,14149
44501,15787
44501,15781
44501,29454
44501,30741
44501,34904
44501,36142
44501,39911
44501,40945
44501,43504
44501,44500
44501,47187
44501,52220
44501,56810
44501,59109
44501,59440
44501,61002
44501,63754
49127,17605
35628,1274
35628,5208
35628,3465
35628,8798
35628,18417
35628,29538
35628,31347
35628,34718
35628,42495
7828,25127
7828,40299
7828,56711
3228,24717
10358,10355
10358,15631
10358,19653
10358,21152
10358,34376
10358,37002
16419,15968
16419,19140
16419,19769
16419,33522
16419,41870
16419,45138
16419,54117
16419,56623
16419,63165
5279,41290
5279,47694
58252,1414
58252,8026
58252,30523
58252,30522
58252,39534
58252,54416
60052,1006
60052,13483
60052,21744
60052,28600
60052,29222
60052,31553
60052,34904
60052,66461
60052,59102
60052,59101
60052,60051
60052,62347
53077,243
53077,9268
53077,24228
53077,24743
53077,35041
53077,35040
53077,39304
53077,43205
53077,47252
53077,48745
53077,58491
53077,58490
53077,59919
53077,59957
62950,3474
62950,48550
58284,7842
58284,13642
58284,21569
29216,57169
29216,65340
29216,65337
29216,65691
29216,65690
59918,18496
59918,59917
35622,11039
35622,11038
35622,35621
27159,36976
27159,37264
27159,57683
27159,58714
61038,1088
61038,19820
61038,19817
61038,55886
30178,51503
24763,39444
55867,30155
55867,34583
20702,24305
2330,39927
2330,40255
2330,43852
54946,31376
7273,30313
61889,257
61889,46775
26332,14568
26332,26331
26332,32962
26332,41810
26332,56122
40563,4778
50151,29791
7391,20360
2718,47346
12072,15844
12072,57477
23486,23485
23486,28598
23486,31147
23486,54000
23486,54510
13742,1414
13742,18164
13742,19857
13742,22229
13742,22226
13742,22222
13742,22223
13742,25992
13742,33312
13742,41343
13742,46982
13742,47192
13742,52515
13742,52533
13742,54416
13742,57021
13742,66362
13742,58768
36432,62493
3690,3688
9300,165
9300,14361
9300,28497
44676,44675
62462,7337
62462,51607
62462,54921
62462,62461
8327,8326
8327,8325
33059,5038
33059,34366
25295,18211
25295,34645
25295,53077
25295,57773
25295,57774
25295,57778
25295,58195
25295,59146
25295,59393
15594,26357
60569,10270
60569,10269
60569,16088
37484,212
37484,27783
37484,27820
13186,22840
13186,29779
55388,1177
55388,11396
55388,16607
55388,16606
55388,16611
55388,19877
55388,26407
55388,28594
55388,36649
55388,38785
33255,124
33255,6661
33255,13817
33255,15515
33255,17649
33255,21640
33255,21639
33255,23958
33255,23959
33255,26801
33255,30174
33255,34969
33255,34970
33255,36986
33255,42127
33255,43205
33255,45001
33255,49697
33255,56037
33255,58419
33255,60186
33255,62416
33255,62415
33255,64182
33255,64225
42438,4196
42438,9553
42438,17203
31477,20935
31477,64193
14404,14402
57036,14238
16376,16374
16376,16375
16376,18769
16376,32474
16376,44946
46041,46042
51015,337
51015,9560
51015,39520
51015,48465
16525,16523
16525,17719
16525,20210
16525,23361
16525,57602
38923,34262
3268,43547
3268,56713
3268,57776
3268,65330
32023,34969
32023,56713
32023,56711
32023,59393
32023,65330
16097,16096
16097,18149
31862,926
31862,12366
31862,29211
32588,20556
32588,35048
32588,50917
32588,59147
32588,58491
65020,5208
65020,47081
65020,60269
18941,18360
18941,28544
18941,41605
18941,41598
18941,56861
18941,59819
32833,43285
39976,48348
49833,32606
49833,49521
49833,66446
46394,35463
46394,38834
16329,49120
16717,3358
16717,3359
16717,6477
16717,11277
16717,19902
16717,41485
16717,47188
16717,49351
16717,51870
16717,51872
16717,58714
16717,58540
16717,59985
16717,61237
16717,62733
12629,53212
61638,33699
61638,44001
61638,52420
28089,18286
28089,28086
28089,28088
28089,49619
28089,54373
28089,61534
10049,1180
10049,9835
10049,10044
10049,10043
10049,10045
10049,16524
10049,25659
10049,28577
10049,49320
57286,52606
57286,61073
5014,1801
36647,13803
36647,13964
36647,36722
12078,9792
12078,37691
65914,9784
65914,62594
65914,65911
5958,3617
13743,13740
13743,13955
13743,15301
13743,26018
13743,27109
13743,36956
13743,41051
13743,41075
13743,42219
13743,47778
13743,47961
13743,49671
8832,18485
8832,24206
8832,28052
25971,24206
25971,30421
63981,2869
63981,9890
63981,36601
63981,48974
63981,48972
63981,55017
63634,27749
63634,36258
41702,635
41702,60730
22559,17171
22559,34471
6645,40568
60048,19140
60048,33522
60048,38705
60048,41027
60048,49759
60048,60045
25267,26197
15133,2929
15133,15610
15133,52448
34526,8880
34526,64166
57663,17712
57663,21410
57663,22046
57663,36597
57663,36630
57663,37752
57663,49549
57663,57661
57663,57658
57663,58165
11575,1700
11575,59794
11575,62443
11575,65096
23842,834
23842,59810
40724,10710
40724,36141
40724,54004
27233,17204
15895,6394
15895,15893
15895,39468
40189,52717
59986,9572
45347,11473
45347,12473
45347,27241
45347,34787
45347,50210
45347,55555
45347,61402
45347,62093
45347,63377
45347,63564
18885,18884
23066,23958
23066,29587
23066,36115
23066,61051
23066,62415
23066,62710
65489,12606
65489,22228
65489,22213
65489,22212
65489,25808
65489,31190
65489,46984
65489,50385
65489,52534
65489,56559
65489,56558
65489,57192
65489,58768
65489,65321
65489,65488
52911,1725
52911,66284
52911,40727
52911,44941
52911,52912
48349,3753
48349,29924
48349,48348
42680,14747
49344,16077
49344,21599
49344,22816
49344,24944
49344,32388
49344,36141
49344,36143
49344,43115
49344,43117
49344,59624
44093,30565
44093,33900
44093,41424
44093,51298
55437,50998
25656,1198
25656,59739
59985,1596
59985,3358
59985,6477
59985,29979
59985,40101
59985,51870
59985,52028
59985,52920
25801,15117
25801,26518
3936,3935
54047,9771
53662,12868
53662,61769
53662,61768
39079,9119
13428,13223
13428,26230
13428,26707
13428,31509
63687,53163
46511,30512
14656,4225
14656,9556
