paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
38154,0.0714285714285714,1,1,1,1.1865079365079363,23.75,1.87,70.0,63.0,0.937,0.604
20821,0.05,0,0,1,0.6666666666666666,3.333333333333333,1.87,70.0,63.0,0.937,0.604
29086,0.03125,1,0,3,2.3684210526315788,14.5,1.59,65.0,65.0,0.772,0.474
22720,0.0555555555555555,1,1,2,1.3191919191919192,31.666666666666668,1.59,65.0,65.0,0.772,0.474
21186,0.2,0,9,0,0.3928571428571428,7.5,4.8,99.0,88.0,2.033,2.883
13213,0.0625,0,0,1,1.8333333333333333,7.0,1.87,70.0,63.0,0.937,0.604
35318,0.0714285714285714,0,5,9,8.835151515151516,26.0,3.23,88.0,81.0,1.85,2.047
33771,0.037037037037037,1,4,7,9.4,8.0,3.23,88.0,81.0,1.85,2.047
38686,0.0714285714285714,0,0,1,0.8888888888888888,5.833333333333333,1.59,64.0,58.0,0.915,0.28
19218,0.0625,0,2,1,1.0,0.0,2.34,92.0,68.0,0.958,0.708
29081,0.0357142857142857,0,3,19,18.75,4.0,4.8,99.0,88.0,2.033,2.883
15090,0.2,1,4,0,7.773809523809524,22.0,4.8,99.0,88.0,2.033,2.883
29307,0.0666666666666666,0,5,8,4.8125,10.0,3.23,88.0,81.0,1.85,2.047
32405,0.0526315789473684,0,0,3,1.4,104.0,1.87,70.0,63.0,0.937,0.604
28827,0.0476190476190476,0,1,3,2.350877192982456,9.333333333333334,4.8,99.0,88.0,2.033,2.883
31530,0.1111111111111111,0,1,0,1.282760989010989,27.375,1.87,70.0,63.0,0.937,0.604
29474,0.0833333333333333,1,21,1,3.7314814814814814,28.0,3.23,88.0,81.0,1.85,2.047
16814,0.1666666666666666,1,1,0,0.0,0.0,1.23,52.0,54.0,0.458,0.36
25681,0.0555555555555555,0,3,3,3.75,5.0,4.8,99.0,88.0,2.033,2.883
28491,0.0555555555555555,0,4,1,1.7142857142857142,12.0,4.8,99.0,88.0,2.033,2.883
10785,0.0833333333333333,1,2,0,2.333333333333333,20.0,3.23,88.0,81.0,1.85,2.047
38498,0.2,1,8,0,0.25,4.75,3.23,88.0,81.0,1.85,2.047
2826,0.125,1,2,1,1.111111111111111,2.333333333333333,3.23,88.0,81.0,1.85,2.047
45094,0.0666666666666666,1,1,1,1.0,2.0,2.34,92.0,68.0,0.958,0.708
33044,0.1111111111111111,1,5,2,3.375,10.0,4.8,99.0,88.0,2.033,2.883
15420,0.1,1,1,4,2.75,12.0,3.23,88.0,81.0,1.85,2.047
38206,0.125,1,0,1,1.144047619047619,25.25,1.87,70.0,63.0,0.937,0.604
3587,0.0555555555555555,0,2,2,3.9444444444444446,3.0,4.8,99.0,88.0,2.033,2.883
15659,0.0833333333333333,0,1,0,0.1388888888888889,10.11111111111111,1.87,70.0,63.0,0.937,0.604
32375,0.05,1,0,5,5.166666666666666,2.0,4.8,99.0,88.0,2.033,2.883
13439,0.0625,1,1,0,0.5624435411020776,63.75,1.59,65.0,65.0,0.772,0.474
27050,0.0833333333333333,1,0,1,0.6688888888888889,41.6,1.35,60.0,60.0,0.716,0.274
7393,0.0666666666666666,0,5,0,2.3125,8.0,4.8,99.0,88.0,2.033,2.883
36958,0.0555555555555555,0,3,48,12.968253968253968,44.0,4.8,99.0,88.0,2.033,2.883
34809,0.125,1,0,1,2.75,76.5,1.87,70.0,63.0,0.937,0.604
8869,0.1,0,0,1,1.0,2.0,1.59,64.0,58.0,0.915,0.28
32153,0.0526315789473684,1,5,1,4.985294117647059,22.0,4.8,99.0,88.0,2.033,2.883
34931,0.0454545454545454,1,2,3,2.1666666666666665,10.666666666666666,4.8,99.0,88.0,2.033,2.883
7813,0.2,1,3,0,1.0,10.5,1.29,68.0,52.0,0.659,0.578
13720,0.1,0,2,0,1.0714285714285714,28.428571428571427,1.59,64.0,58.0,0.915,0.28
4951,0.0555555555555555,0,7,13,15.318954248366012,46.0,3.23,88.0,81.0,1.85,2.047
38974,0.0769230769230769,1,1,4,9.644787878787875,56.8,1.59,65.0,65.0,0.772,0.474
38908,0.0434782608695652,1,2,1,1.3,4.2,1.59,65.0,65.0,0.772,0.474
37492,0.037037037037037,1,1,2,2.0,2.0,3.23,88.0,81.0,1.85,2.047
5701,0.0714285714285714,1,1,3,4.38974358974359,96.2,1.59,65.0,65.0,0.772,0.474
16874,0.0384615384615384,1,0,3,5.262962962962963,23.166666666666668,1.59,65.0,65.0,0.772,0.474
14541,0.0384615384615384,1,3,6,3.5,0.0,3.23,88.0,81.0,1.85,2.047
37953,0.1111111111111111,1,9,1,0.6666666666666666,3.333333333333333,3.23,88.0,81.0,1.85,2.047
14108,0.0833333333333333,1,3,9,6.707792207792209,23.33333333333333,4.8,99.0,88.0,2.033,2.883
26741,0.0555555555555555,0,1,0,1.5454545454545456,11.333333333333334,1.26,57.0,51.0,0.623,0.264
40363,0.0344827586206896,1,1,49,49.0,1.0,4.8,99.0,88.0,2.033,2.883
36564,0.0476190476190476,0,0,1,0.75,7.0,1.34,58.0,55.0,0.803,0.346
32620,0.125,1,1,0,0.25,2.0,4.8,99.0,88.0,2.033,2.883
40401,0.0416666666666666,1,2,5,5.0,0.0,3.23,88.0,81.0,1.85,2.047
39339,0.125,1,0,1,2.333333333333333,6.333333333333333,1.59,64.0,58.0,0.915,0.28
6254,0.0588235294117647,1,2,7,4.642554813607445,78.57142857142857,1.59,65.0,65.0,0.772,0.474
30222,0.0588235294117647,1,1,0,0.3555555555555555,26.0,1.87,70.0,63.0,0.937,0.604
22286,0.0714285714285714,0,0,2,2.4095238095238094,39.71428571428572,1.87,70.0,63.0,0.937,0.604
40074,0.0588235294117647,1,5,44,15.666666666666668,4.5,3.23,88.0,81.0,1.85,2.047
2631,0.0625,1,4,1,1.0,1.0,4.8,99.0,88.0,2.033,2.883
43894,0.0666666666666666,0,1,0,0.3,7.333333333333333,1.29,68.0,52.0,0.659,0.578
12699,0.0714285714285714,0,0,1,1.0337301587301588,16.5,1.87,70.0,63.0,0.937,0.604
28661,0.0434782608695652,0,0,2,1.7857142857142858,14.285714285714286,1.87,70.0,63.0,0.937,0.604
18980,0.1428571428571428,1,3,0,1.34375,9.25,3.23,88.0,81.0,1.85,2.047
42013,0.125,1,1,1,0.875,5.25,1.59,65.0,65.0,0.772,0.474
39949,0.1,1,2,4,6.029761904761905,27.0,1.59,65.0,65.0,0.772,0.474
15407,0.05,0,0,1,1.5,0.0,4.8,99.0,88.0,2.033,2.883
2203,0.0357142857142857,1,1,2,3.0,4.333333333333333,4.8,99.0,88.0,2.033,2.883
38135,0.0555555555555555,0,0,4,2.7142857142857144,18.0,1.59,64.0,58.0,0.915,0.28
29820,0.0384615384615384,1,0,1,1.25,7.333333333333333,1.87,70.0,63.0,0.937,0.604
23115,0.1111111111111111,1,0,1,1.5,34.333333333333336,1.59,65.0,65.0,0.772,0.474
6530,0.0833333333333333,1,4,1,2.111111111111111,3.333333333333333,4.8,99.0,88.0,2.033,2.883
3204,0.0769230769230769,0,13,2,5.616071428571429,9.0,4.8,99.0,88.0,2.033,2.883
24217,0.0666666666666666,1,4,2,3.2434210526315788,35.5,3.23,88.0,81.0,1.85,2.047
15144,0.0476190476190476,0,10,7,7.181818181818182,15.5,4.8,99.0,88.0,2.033,2.883
38387,0.0714285714285714,0,1,2,1.619047619047619,4.5,1.05,50.0,55.0,0.848,0.267
