Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
1373,0.0285714285714285,0,0,1,1,6.789682539682539,144.0,113.81113333333332,4.333333333333333,3.76,88.0,76.0,2.251,0.805
1521,0.0294117647058823,0,0,1,1,3.954545454545455,5.0,87.0,4.0,1.03,43.0,47.0,0.884,0.412
1595,0.0285714285714285,0,0,5,5,4.727272727272728,6.0,31.1667,3.0,5.24,95.0,87.0,2.359,1.628
1736,0.0294117647058823,1,0,1,1,2.5584313725490198,352.0,45.992700000000006,5.333333333333333,3.76,88.0,76.0,2.251,0.805
1772,0.0294117647058823,0,0,4,4,4.894871794871795,113.0,73.0512,5.5,5.24,95.0,87.0,2.359,1.628
1775,0.0294117647058823,1,0,2,2,1.0909090909090908,14.0,1.0,1.0,5.24,95.0,87.0,2.359,1.628
2025,0.0294117647058823,1,0,5,5,33.08571428571429,41.0,651.0,14.0,5.24,95.0,87.0,2.359,1.628
2102,0.0294117647058823,1,0,3,3,4.263888888888889,95.0,107.61665,7.0,5.24,95.0,87.0,2.359,1.628
2104,0.0294117647058823,1,0,1,1,9.918181818181818,61.0,132.63335,5.5,5.24,95.0,87.0,2.359,1.628
2121,0.0294117647058823,1,0,1,1,13.080459770114942,76.0,90.51665,7.5,1.4,54.0,50.0,1.488,0.517
2132,0.0294117647058823,0,0,1,1,11.157692307692308,217.0,563.92145,13.0,3.76,88.0,76.0,2.251,0.805
2319,0.0294117647058823,0,0,6,6,24.193548387096776,71.0,1262.2667,15.0,0.24,11.0,17.0,0.237,0.122
2323,0.0294117647058823,0,0,1,1,16.335526315789473,221.0,1406.2667,26.0,0.24,11.0,17.0,0.237,0.122
2324,0.0294117647058823,0,0,8,8,7.339805825242719,156.0,498.7,14.0,0.24,11.0,17.0,0.237,0.122
2345,0.0294117647058823,0,0,1,1,5.268060200668896,144.0,118.25,9.0,1.4,54.0,50.0,1.488,0.517
