Source,Target,Source_Score,Target_Score,weight
50800,16939,34.353881623534505,34.648673495598615,0.29479187206410984
50803,17097,34.41800809964292,34.30793899146797,-0.11006910817494742
50803,47775,34.41800809964292,35.081670678177645,0.6636625785347263
242864,184584,34.634579758218024,35.14223255146269,0.5076527932446666
242864,184585,34.634579758218024,35.14223255146269,0.5076527932446666
413510,42828,56.003961286300665,55.67755769745405,-0.3264035888466168
413510,49145,56.003961286300665,53.962222191049825,-2.04173909525084
413510,61519,56.003961286300665,61.56427099994064,5.560309713639974
413510,62758,56.003961286300665,55.93403541804029,-0.06992586826037694
413510,117420,56.003961286300665,48.48867589256632,-7.515285393734345
413510,117610,56.003961286300665,106.26465503985037,50.2606937535497
413510,121916,56.003961286300665,48.132013884974164,-7.871947401326501
413510,185101,56.003961286300665,56.39189635806253,0.38793507176186637
413510,228935,56.003961286300665,54.37630063192208,-1.6276606543785874
413510,245545,56.003961286300665,47.33163863980803,-8.672322646492638
413510,258679,56.003961286300665,68.27436028799428,12.270399001693619
413510,274792,56.003961286300665,72.7703652168579,16.76640393055723
413510,304400,56.003961286300665,79.1888780629886,23.184916776687942
413510,306152,56.003961286300665,53.30149033530989,-2.7024709509907723
413510,309879,56.003961286300665,88.359436598245,32.35547531194433
413510,312607,56.003961286300665,52.300056978043436,-3.703904308257229
413510,346861,56.003961286300665,61.422375998342595,5.41841471204193
413512,42804,44.08814028872545,44.97332221275608,0.8851819240306327
413513,27420,47.930335987924295,58.56207815038147,10.631742162457172
413513,181956,47.930335987924295,50.53286282141669,2.602526833492398
413513,304046,47.930335987924295,48.627922239622265,0.6975862516979703
413516,62830,51.02721001797541,47.59146189781793,-3.435748120157484
413516,141917,51.02721001797541,50.733004977712525,-0.29420504026288796
413516,192471,51.02721001797541,49.076024921394755,-1.9511850965806588
413516,205319,51.02721001797541,69.06463395455673,18.037423936581312
413516,258690,51.02721001797541,49.492486434955204,-1.5347235830202095
413516,262974,51.02721001797541,48.179251342287436,-2.847958675687977
413517,220888,51.46383680504923,46.84532107262638,-4.61851573242285
413517,278968,51.46383680504923,52.24397801175581,0.780141206706574
413517,307253,51.46383680504923,46.3787552647038,-5.085081540345435
413517,346857,51.46383680504923,45.34175512070385,-6.122081684345382
413518,190673,59.8228123132566,44.60748259387541,-15.215329719381188
413518,276720,59.8228123132566,54.53848171956319,-5.2843305936934115
413518,303324,59.8228123132566,48.45917644367039,-11.363635869586211
413519,31225,46.98917158455662,73.8610645176193,26.871892933062675
413519,212851,46.98917158455662,53.562747946800265,6.573576362243642
413519,346848,46.98917158455662,47.30383300724123,0.3146614226846083
413519,348865,46.98917158455662,57.527479379874336,10.538307795317714
413520,11534,48.66106420667039,63.63369099236992,14.972626785699532
413520,32452,48.66106420667039,53.752269986612674,5.091205779942285
413521,68976,44.93674138172915,44.643226211859876,-0.2935151698692735
413521,258684,44.93674138172915,44.42952367993244,-0.5072177017967121
413521,328816,44.93674138172915,44.663523043182174,-0.2732183385469753
413522,27880,45.704004055778064,60.85637521585677,15.152371160078708
413522,42791,45.704004055778064,47.643641804968574,1.93963774919051
413522,56956,45.704004055778064,79.4028963110042,33.698892255226134
413522,68972,45.704004055778064,49.5956591040675,3.8916550482894365
413522,92859,45.704004055778064,47.57269560862399,1.8686915528459238
413522,92866,45.704004055778064,87.93578966417999,42.23178560840193
413522,176063,45.704004055778064,111.98157184869456,66.2775677929165
413522,206632,45.704004055778064,146.16507460492872,100.46107054915066
413522,212455,45.704004055778064,49.811402831347344,4.10739877556928
413522,225347,45.704004055778064,51.920746412817586,6.2167423570395215
413522,276401,45.704004055778064,62.14199222910423,16.43798817332617
413523,27897,51.97477651150471,58.354490548655924,6.379714037151217
413523,322192,51.97477651150471,50.78217658703232,-1.1925999244723897
413524,69120,44.86093843190012,70.54389433893617,25.682955907036053
413525,42820,57.54112454959958,46.47861603095402,-11.062508518645558
413525,61123,57.54112454959958,50.52144589780759,-7.019678651791992
413525,61290,57.54112454959958,55.13514357390443,-2.405980975695151
413525,117619,57.54112454959958,49.68893972472169,-7.852184824877888
413525,134341,57.54112454959958,64.32958022313214,6.78845567353256
413525,185064,57.54112454959958,46.01005778151944,-11.531066768080137
413525,243091,57.54112454959958,46.04180556217897,-11.499318987420608
413525,262997,57.54112454959958,54.04675047576575,-3.494374073833832
413525,266092,57.54112454959958,60.03107530644533,2.489950756845751
413525,272434,57.54112454959958,64.95656935198805,7.415444802388471
413525,348873,57.54112454959958,56.87103816112787,-0.6700863884717094
413525,350371,57.54112454959958,59.176887643684786,1.6357630940852061
413527,48657,44.695286803232506,47.23446645804024,2.5391796548077323
413527,188325,44.695286803232506,49.73485626973193,5.039569466499422
413529,92860,44.8053942123597,45.406620207167144,0.601225994807443
413530,44191,81.01133019044342,111.45198210513072,30.440651914687308
413530,49144,81.01133019044342,115.04730030137318,34.03597011092977
413530,117429,81.01133019044342,55.73766587653743,-25.27366431390599
413530,143721,81.01133019044342,48.03055388879286,-32.98077630165056
413530,164475,81.01133019044342,113.12014049144781,32.1088103010044
413530,205286,81.01133019044342,66.37827891815243,-14.633051272290984
413530,212837,81.01133019044342,52.15278132214311,-28.858548868300304
413530,235393,81.01133019044342,76.86123587205473,-4.150094318388682
413530,274792,81.01133019044342,72.7703652168579,-8.24096497358552
413530,276401,81.01133019044342,62.14199222910423,-18.869337961339184
413530,276459,81.01133019044342,60.709508165286756,-20.30182202515666
413530,295188,81.01133019044342,107.35585894990362,26.344528759460204
413530,297895,81.01133019044342,64.70756356014024,-16.303766630303173
